CountryName,CountryCode,gdpPerCap2012,population2012,gdpGrowth2012,gdp
Tajikistan,TJK,458.6208503,8008990,7.5,3673089804
Turkmenistan,TKM,3269.652287,5172931,11.1,16913685675
Timor-Leste,TLS,682.4098349,1210233,0.592337824,825874902
Tonga,TON,2658.133626,104941,0.84645908,278947201
Trinidad and Tobago,TTO,14183.19768,1337439,1.52224811,18969161722
Tunisia,TUN,3783.327955,10777500,3.6,40774817035
Turkey,TUR,8492.613999,73997128,2.239179183,628429045139
Tuvalu,TUV,2623.881334,9860,0.174458145,25871470
Tanzania,TZA,483.4818402,47783107,6.858714979,23102264503
Uganda,UGA,405.3429197,36345860,3.410515784,14732537011
Ukraine,UKR,2094.120138,45593300,0.2,95477847688
Upper middle income,UMC,4312.806282,2390596275,4.953567521,10310178632546
Uruguay,URY,7497.372863,3395253,3.935344107,25455477705
United States,USA,45335.89736,313914040,2.778958837,14231574697303
Uzbekistan,UZB,845.8065902,29774500,8.2,25183468320
St. Vincent and the Grenadines,VCT,5543.337851,109373,2.285463707,606291491
"Venezuela, RB",VEN,6412.037828,29954782,5.625956975,192071195313
Virgin Islands (U.S.),VIR,,105275,,0
Vietnam,VNM,986.0137631,88772900,5.247367156,87531301190
Vanuatu,VUT,2112.202572,247262,2.25,522267432
World,WLD,7751.296093,7043902890,2.367951301,54599376950728
Samoa,WSM,2349.603229,188889,2.893970286,443814204
"Yemen, Rep.",YEM,778.3474691,23852409,0.137233759,18565462177
South Africa,ZAF,5878.778076,52274945,2.548464215,307312800590
Zambia,ZMB,797.6270355,14075099,7.23177135,11226679490
Zimbabwe,ZWE,430.6927501,13724317,4.423383483,5910963832
