Country,State,Name,Latitude,Longitude,DistanceFromSource,ArrivalDay,ArrivalHour,ArrivalMin,TravelTimeHours,TravelTimeMin,MaxWaveDay,MaxWaveHour,MaxWaveMin,MaxWaveHeight
CHILE,,TONGOY,-30.2575,-71.4925,16802,,,,,,,,,
CHINA,,HONG KONG,22.267,114.283,3213,,,,,,,,,0.2
CHINA,,SHENJIAMEN,29.9497,122.2836,2064,,,,,,,,,0.55
COOK ISLANDS,,RAROTONGA,-21.2,-159.783,8952,,,,,,,,,0.29
COSTA RICA,,QUEPOS,9.4246,-84.1711,12850,11,23,24,17,37,12,4,0,0.5
ECUADOR,,"BALTRA ISLAND, GALAPAGOS ISLANDS",-0.433,-90.283,13206,11,23,24,17,37,12,0,7,0.86
ECUADOR,,LA LIBERTAD,-2.23,-80.9,14072,12,1,19,19,32,12,4,51,1.61
ECUADOR,,"SANTA CRUZ I., GALAPAGOS ISLANDS",-0.7533,-90.3117,13229,11,23,33,17,46,12,0,38,2.26
ECUADOR,,"SANTA CRUZ I., GALAPAGOS ISLANDS",-0.7533,-90.3117,13229,,,,,,,,,
ECUADOR,,SANTA ROSA,-3.3833,-80.3167,14211,,,,,,,,,
EL SALVADOR,,ACAJUTLA,13.5739,-89.8383,12100,11,22,35,16,48,12,19,8,0.48
EL SALVADOR,,LA UNION,13.333,-87.817,12262,12,0,16,18,29,12,8,38,0.05
FIJI,,LAUTOKA,-17.6,177.433,7213,11,15,44,9,57,11,19,5,0.29
FIJI,,"SUVA, KING'S WHARF",-18.133,178.427,7317,11,15,31,9,44,11,17,9,0.21
FRENCH POLYNESIA,,"HIVA OA ISLAND, MARQUESAS ISLANDS",-9.8049,-139.0347,9708,,,,,,,,,1.39
FRENCH POLYNESIA,,HUAHINE,-16.7216,-151.0324,9242,11,17,20,11,33,11,19,59,0.34
FRENCH POLYNESIA,,"NUKU HIVA ISLAND, MARQUESAS ISLANDS",-8.9148,-140.0958,9555,11,17,50,12,3,11,18,30,1.56
FRENCH POLYNESIA,,"PAPEETE, TAHITI",-17.533,-149.567,9417,11,17,16,11,29,11,18,9,0.42
FRENCH POLYNESIA,,RANGIROA,-14.9458,-147.706,9369,11,17,19,11,32,11,18,26,0.31
FRENCH POLYNESIA,,"RIKITEA, MANGAREVA ISLAND",-23.1203,-134.969,10977,11,19,56,14,9,11,21,7,0.24
FRENCH POLYNESIA,,TUBUAI,-23.3418,-149.4756,9866,11,17,59,12,12,11,19,38,0.18
FRENCH POLYNESIA,,"VAIRAO, SOCIETY IS, TAHITI",-17.8,-149.2833,9460,,,,,,,,,0.19
INDONESIA,NORTH MALUKU,JAILOLO,1.0833,127.5,4409,,,,,,,,,0.1
INDONESIA,NORTH SULAWESI,BITUNG,1.427,125.176,4460,11,11,41,5,54,11,4,59,0.1
INDONESIA,PAPUA,DERMAGA TELUK YOUTEFA,-2.61341,140.68642,4554,,,,,,,,,0.8
INDONESIA,PAPUA,HOLTEKAMP I (JALAN RAYA),-2.62677,140.7791,4555,,,,,,,,,1.08
INDONESIA,PAPUA,HOLTEKAMP II (JEMBATAN MUARA),-2.62668,140.7803,4555,,,,,,,,,2.8
