AnalysisId,SampleId,SampleNum,Type,Fixed,Latitude,Longitude,Distance_miles,Bearing,Direction,CollectionDate,Source,Description,SpectraFile,SamplingTime,LiveTime,InstrumentHeight,Uncertainty,MDA,MethodCode,Moisture_pct,Nuclide,Result,Unit
221831,10327,JIS-0607-2,Instrument,No,36.913444,140.79975,37.3088747862991,200.129683426415,SSW,6/6/2011 11:35:00 PM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time.;,0607-2.CHN,1845,1800,100,0,0.010575,InSituGammaSpec,,I-132,0,uCi/m2
221833,10327,JIS-0607-2,Instrument,No,36.913444,140.79975,37.3088747862991,200.129683426415,SSW,6/6/2011 11:35:00 PM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time.;,0607-2.CHN,1845,1800,100,0.015932,,InSituGammaSpec,,Te-129,0.165249,uCi/m2
221835,10327,JIS-0607-2,Instrument,No,36.913444,140.79975,37.3088747862991,200.129683426415,SSW,6/6/2011 11:35:00 PM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time.;,0607-2.CHN,1845,1800,100,0,0.00595,InSituGammaSpec,,I-133,0,uCi/m2
221837,10327,JIS-0607-2,Instrument,No,36.913444,140.79975,37.3088747862991,200.129683426415,SSW,6/6/2011 11:35:00 PM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time.;,0607-2.CHN,1845,1800,100,0.023978,,InSituGammaSpec,,Te-129m,0.164881,uCi/m2
221839,10327,JIS-0607-2,Instrument,No,36.913444,140.79975,37.3088747862991,200.129683426415,SSW,6/6/2011 11:35:00 PM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time.;,0607-2.CHN,1845,1800,100,0,0.003905,InSituGammaSpec,,Te-132,0,uCi/m2
221841,10327,JIS-0607-2,Instrument,No,36.913444,140.79975,37.3088747862991,200.129683426415,SSW,6/6/2011 11:35:00 PM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time.;,0607-2.CHN,1845,1800,100,0.001539,,InSituGammaSpec,,La-140,0.003774,uCi/m2
221843,10327,JIS-0607-2,Instrument,No,36.913444,140.79975,37.3088747862991,200.129683426415,SSW,6/6/2011 11:35:00 PM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time.;,0607-2.CHN,1845,1800,100,0.000202,,InSituGammaSpec,,Nb-95,0.000563,uCi/m2
221845,10327,JIS-0607-2,Instrument,No,36.913444,140.79975,37.3088747862991,200.129683426415,SSW,6/6/2011 11:35:00 PM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time.;,0607-2.CHN,1845,1800,100,0.000303,,InSituGammaSpec,,Ag-110m,0.001345,uCi/m2
221847,10329,JIS-0607-3,Instrument,No,36.862889,140.63175,44.4161400581597,209.890114705057,SSW,6/7/2011 1:22:00 AM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time;,0607-3.CHN,1869,1800,100,0.050852,,InSituGammaSpec,,Cs-134,0.418188,uCi/m2
221849,10329,JIS-0607-3,Instrument,No,36.862889,140.63175,44.4161400581597,209.890114705057,SSW,6/7/2011 1:22:00 AM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time;,0607-3.CHN,1869,1800,100,0.002559244,,InSituGammaSpec,,Cs-137,0.414976268,uCi/m2
221851,10329,JIS-0607-3,Instrument,No,36.862889,140.63175,44.4161400581597,209.890114705057,SSW,6/7/2011 1:22:00 AM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time;,0607-3.CHN,1869,1800,100,0.000498308,,InSituGammaSpec,,Cs-136,0.001436808,uCi/m2
221853,10329,JIS-0607-3,Instrument,No,36.862889,140.63175,44.4161400581597,209.890114705057,SSW,6/7/2011 1:22:00 AM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time;,0607-3.CHN,1869,1800,100,0.001716,,InSituGammaSpec,,I-131,0.005429,uCi/m2
221855,10329,JIS-0607-3,Instrument,No,36.862889,140.63175,44.4161400581597,209.890114705057,SSW,6/7/2011 1:22:00 AM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time;,0607-3.CHN,1869,1800,100,0,0.0118,InSituGammaSpec,,I-132,0,uCi/m2
221857,10329,JIS-0607-3,Instrument,No,36.862889,140.63175,44.4161400581597,209.890114705057,SSW,6/7/2011 1:22:00 AM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time;,0607-3.CHN,1869,1800,100,0.019579,,InSituGammaSpec,,Te-129,0.394678,uCi/m2
221859,10329,JIS-0607-3,Instrument,No,36.862889,140.63175,44.4161400581597,209.890114705057,SSW,6/7/2011 1:22:00 AM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time;,0607-3.CHN,1869,1800,100,0,0.00679,InSituGammaSpec,,I-133,0,uCi/m2
221861,10329,JIS-0607-3,Instrument,No,36.862889,140.63175,44.4161400581597,209.890114705057,SSW,6/7/2011 1:22:00 AM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time;,0607-3.CHN,1869,1800,100,0.030669,,InSituGammaSpec,,Te-129m,0.693121,uCi/m2
221863,10329,JIS-0607-3,Instrument,No,36.862889,140.63175,44.4161400581597,209.890114705057,SSW,6/7/2011 1:22:00 AM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time;,0607-3.CHN,1869,1800,100,0,0.00449,InSituGammaSpec,,Te-132,0,uCi/m2
221865,10329,JIS-0607-3,Instrument,No,36.862889,140.63175,44.4161400581597,209.890114705057,SSW,6/7/2011 1:22:00 AM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time;,0607-3.CHN,1869,1800,100,0.001289,,InSituGammaSpec,,La-140,0.011196,uCi/m2
221867,10329,JIS-0607-3,Instrument,No,36.862889,140.63175,44.4161400581597,209.890114705057,SSW,6/7/2011 1:22:00 AM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time;,0607-3.CHN,1869,1800,100,0.000424,,InSituGammaSpec,,Nb-95,0.002113,uCi/m2
